Start,End,Path
"(113, 82)","(113, 82)","[(113.0, 82.0)]"
"(113, 82)","(137, 118)","[(113.0, 82.0), (113.0, 83.0), (113.0, 84.0), (113.0, 85.0), (113.0, 86.0), (113.0, 87.0), (113.0, 88.0), (113.0, 89.0), (113.0, 90.0), (113.0, 91.0), (113.0, 92.0), (113.0, 93.0), (113.0, 94.0), (113.0, 95.0), (113.0, 96.0), (113.0, 97.0), (113.0, 98.0), (113.0, 99.0), (113.0, 100.0), (113.0, 101.0), (113.0, 102.0), (113.0, 103.0), (113.0, 104.0), (113.0, 105.0), (113.0, 106.0), (113.0, 107.0), (113.0, 108.0), (113.0, 109.0), (113.0, 110.0), (113.0, 111.0), (113.0, 112.0), (113.0, 113.0), (113.0, 114.0), (113.0, 115.0), (113.0, 116.0), (113.0, 117.0), (114.0, 117.0), (115.0, 117.0), (116.0, 117.0), (117.0, 117.0), (118.0, 117.0), (119.0, 117.0), (120.0, 117.0), (121.0, 117.0), (122.0, 117.0), (123.0, 117.0), (124.0, 117.0), (125.0, 117.0), (126.0, 117.0), (127.0, 117.0), (128.0, 117.0), (129.0, 117.0), (130.0, 117.0), (131.0, 117.0), (132.0, 117.0), (133.0, 117.0), (134.0, 117.0), (135.0, 117.0), (136.0, 117.0), (136.0, 118.0), (137.0, 118.0)]"
"(137, 118)","(103, 118)","[(137.0, 118.0), (137.0, 119.0), (136.0, 119.0), (135.0, 119.0), (134.0, 119.0), (133.0, 119.0), (132.0, 119.0), (131.0, 119.0), (130.0, 119.0), (129.0, 119.0), (128.0, 119.0), (127.0, 119.0), (126.0, 119.0), (125.0, 119.0), (124.0, 119.0), (123.0, 119.0), (122.0, 119.0), (121.0, 119.0), (120.0, 119.0), (119.0, 119.0), (118.0, 119.0), (117.0, 119.0), (116.0, 119.0), (115.0, 119.0), (114.0, 119.0), (113.0, 119.0), (112.0, 119.0), (111.0, 119.0), (110.0, 119.0), (109.0, 119.0), (108.0, 119.0), (107.0, 119.0), (106.0, 119.0), (105.0, 119.0), (104.0, 119.0), (103.0, 119.0), (103.0, 118.0)]"
"(103, 118)","(139, 82)","[(103.0, 118.0), (103.0, 117.0), (103.0, 116.0), (103.0, 115.0), (103.0, 114.0), (103.0, 113.0), (103.0, 112.0), (103.0, 111.0), (103.0, 110.0), (103.0, 109.0), (103.0, 108.0), (103.0, 107.0), (103.0, 106.0), (103.0, 105.0), (103.0, 104.0), (103.0, 103.0), (103.0, 102.0), (103.0, 101.0), (103.0, 100.0), (103.0, 99.0), (103.0, 98.0), (103.0, 97.0), (103.0, 96.0), (103.0, 95.0), (103.0, 94.0), (103.0, 93.0), (103.0, 92.0), (103.0, 91.0), (103.0, 90.0), (103.0, 89.0), (103.0, 88.0), (103.0, 87.0), (104.0, 87.0), (105.0, 87.0), (106.0, 87.0), (106.0, 86.0), (107.0, 86.0), (108.0, 86.0), (109.0, 86.0), (110.0, 86.0), (111.0, 86.0), (112.0, 86.0), (113.0, 86.0), (114.0, 86.0), (115.0, 86.0), (116.0, 86.0), (117.0, 86.0), (118.0, 86.0), (119.0, 86.0), (120.0, 86.0), (121.0, 86.0), (122.0, 86.0), (123.0, 86.0), (124.0, 86.0), (125.0, 86.0), (126.0, 86.0), (127.0, 86.0), (128.0, 86.0), (129.0, 86.0), (130.0, 86.0), (131.0, 86.0), (132.0, 86.0), (133.0, 86.0), (134.0, 86.0), (135.0, 86.0), (136.0, 86.0), (136.0, 85.0), (136.0, 84.0), (136.0, 83.0), (136.0, 82.0), (137.0, 82.0), (138.0, 82.0), (139.0, 82.0)]"
"(99, 134)","(161, 120)","[(99.0, 134.0), (99.0, 133.0), (99.0, 132.0), (99.0, 131.0), (99.0, 130.0), (99.0, 129.0), (99.0, 128.0), (99.0, 127.0), (99.0, 126.0), (99.0, 125.0), (99.0, 124.0), (99.0, 123.0), (99.0, 122.0), (99.0, 121.0), (99.0, 120.0), (100.0, 120.0), (101.0, 120.0), (102.0, 120.0), (103.0, 120.0), (104.0, 120.0), (105.0, 120.0), (106.0, 120.0), (107.0, 120.0), (108.0, 120.0), (109.0, 120.0), (110.0, 120.0), (111.0, 120.0), (112.0, 120.0), (113.0, 120.0), (114.0, 120.0), (115.0, 120.0), (116.0, 120.0), (117.0, 120.0), (118.0, 120.0), (119.0, 120.0), (120.0, 120.0), (121.0, 120.0), (122.0, 120.0), (123.0, 120.0), (124.0, 120.0), (125.0, 120.0), (126.0, 120.0), (127.0, 120.0), (128.0, 120.0), (129.0, 120.0), (130.0, 120.0), (131.0, 120.0), (132.0, 120.0), (133.0, 120.0), (134.0, 120.0), (135.0, 120.0), (136.0, 120.0), (137.0, 120.0), (138.0, 120.0), (139.0, 120.0), (140.0, 120.0), (141.0, 120.0), (142.0, 120.0), (143.0, 120.0), (144.0, 120.0), (145.0, 120.0), (146.0, 120.0), (147.0, 120.0), (148.0, 120.0), (149.0, 120.0), (150.0, 120.0), (151.0, 120.0), (152.0, 120.0), (153.0, 120.0), (154.0, 120.0), (155.0, 120.0), (156.0, 120.0), (157.0, 120.0), (158.0, 120.0), (159.0, 120.0), (160.0, 120.0), (161.0, 120.0)]"
"(161, 120)","(139, 118)","[(161.0, 120.0), (161.0, 119.0), (160.0, 119.0), (159.0, 119.0), (158.0, 119.0), (157.0, 119.0), (156.0, 119.0), (155.0, 119.0), (154.0, 119.0), (153.0, 119.0), (152.0, 119.0), (151.0, 119.0), (150.0, 119.0), (149.0, 119.0), (148.0, 119.0), (147.0, 119.0), (146.0, 119.0), (145.0, 119.0), (144.0, 119.0), (143.0, 119.0), (142.0, 119.0), (141.0, 119.0), (140.0, 119.0), (139.0, 119.0), (139.0, 118.0)]"
"(139, 118)","(97, 118)","[(139.0, 118.0), (139.0, 117.0), (139.0, 116.0), (138.0, 116.0), (137.0, 116.0), (136.0, 116.0), (135.0, 116.0), (134.0, 116.0), (133.0, 116.0), (132.0, 116.0), (131.0, 116.0), (130.0, 116.0), (129.0, 116.0), (128.0, 116.0), (127.0, 116.0), (126.0, 116.0), (125.0, 116.0), (124.0, 116.0), (123.0, 116.0), (122.0, 116.0), (121.0, 116.0), (120.0, 116.0), (119.0, 116.0), (118.0, 116.0), (117.0, 116.0), (116.0, 116.0), (115.0, 116.0), (114.0, 116.0), (113.0, 116.0), (112.0, 116.0), (111.0, 116.0), (110.0, 116.0), (109.0, 116.0), (108.0, 116.0), (107.0, 116.0), (106.0, 116.0), (105.0, 116.0), (104.0, 116.0), (103.0, 116.0), (102.0, 116.0), (102.0, 117.0), (101.0, 117.0), (100.0, 117.0), (99.0, 117.0), (98.0, 117.0), (97.0, 117.0), (97.0, 118.0)]"
"(97, 118)","(165, 134)","[(97.0, 118.0), (97.0, 119.0), (97.0, 120.0), (97.0, 121.0), (97.0, 122.0), (97.0, 123.0), (97.0, 124.0), (97.0, 125.0), (97.0, 126.0), (97.0, 127.0), (97.0, 128.0), (97.0, 129.0), (97.0, 130.0), (97.0, 131.0), (98.0, 131.0), (99.0, 131.0), (100.0, 131.0), (101.0, 131.0), (102.0, 131.0), (103.0, 131.0), (104.0, 131.0), (104.0, 132.0), (105.0, 132.0), (106.0, 132.0), (107.0, 132.0), (108.0, 132.0), (109.0, 132.0), (110.0, 132.0), (111.0, 132.0), (112.0, 132.0), (113.0, 132.0), (114.0, 132.0), (115.0, 132.0), (116.0, 132.0), (117.0, 132.0), (118.0, 132.0), (119.0, 132.0), (120.0, 132.0), (121.0, 132.0), (122.0, 132.0), (123.0, 132.0), (124.0, 132.0), (125.0, 132.0), (126.0, 132.0), (127.0, 132.0), (128.0, 132.0), (129.0, 132.0), (130.0, 132.0), (130.0, 133.0), (131.0, 133.0), (132.0, 133.0), (133.0, 133.0), (134.0, 133.0), (135.0, 133.0), (136.0, 133.0), (137.0, 133.0), (138.0, 133.0), (139.0, 133.0), (140.0, 133.0), (141.0, 133.0), (142.0, 133.0), (143.0, 133.0), (144.0, 133.0), (145.0, 133.0), (146.0, 133.0), (147.0, 133.0), (148.0, 133.0), (148.0, 134.0), (149.0, 134.0), (150.0, 134.0), (151.0, 134.0), (152.0, 134.0), (153.0, 134.0), (154.0, 134.0), (155.0, 134.0), (156.0, 134.0), (157.0, 134.0), (158.0, 134.0), (159.0, 134.0), (160.0, 134.0), (161.0, 134.0), (162.0, 134.0), (163.0, 134.0), (164.0, 134.0), (165.0, 134.0)]"
"(165, 118)","(159, 82)","[(165.0, 118.0), (165.0, 117.0), (165.0, 116.0), (165.0, 115.0), (165.0, 114.0), (165.0, 113.0), (165.0, 112.0), (165.0, 111.0), (165.0, 110.0), (165.0, 109.0), (165.0, 108.0), (165.0, 107.0), (165.0, 106.0), (165.0, 105.0), (165.0, 104.0), (165.0, 103.0), (165.0, 102.0), (165.0, 101.0), (165.0, 100.0), (165.0, 99.0), (165.0, 98.0), (165.0, 97.0), (165.0, 96.0), (165.0, 95.0), (165.0, 94.0), (165.0, 93.0), (165.0, 92.0), (165.0, 91.0), (165.0, 90.0), (165.0, 89.0), (165.0, 88.0), (165.0, 87.0), (165.0, 86.0), (165.0, 85.0), (164.0, 85.0), (163.0, 85.0), (162.0, 85.0), (161.0, 85.0), (160.0, 85.0), (159.0, 85.0), (158.0, 85.0), (158.0, 84.0), (158.0, 83.0), (158.0, 82.0), (159.0, 82.0)]"
"(159, 82)","(167, 118)","[(159.0, 82.0), (158.0, 82.0), (157.0, 82.0), (157.0, 83.0), (157.0, 84.0), (157.0, 85.0), (157.0, 86.0), (157.0, 87.0), (157.0, 88.0), (157.0, 89.0), (157.0, 90.0), (157.0, 91.0), (157.0, 92.0), (157.0, 93.0), (157.0, 94.0), (157.0, 95.0), (157.0, 96.0), (157.0, 97.0), (157.0, 98.0), (157.0, 99.0), (157.0, 100.0), (157.0, 101.0), (157.0, 102.0), (157.0, 103.0), (157.0, 104.0), (157.0, 105.0), (157.0, 106.0), (157.0, 107.0), (157.0, 108.0), (157.0, 109.0), (157.0, 110.0), (157.0, 111.0), (157.0, 112.0), (157.0, 113.0), (157.0, 114.0), (157.0, 115.0), (157.0, 116.0), (157.0, 117.0), (157.0, 118.0), (158.0, 118.0), (159.0, 118.0), (160.0, 118.0), (161.0, 118.0), (162.0, 118.0), (163.0, 118.0), (164.0, 118.0), (165.0, 118.0), (166.0, 118.0), (167.0, 118.0)]"
